20180613-102404 INFO: 
NOME_QUERY                      | CODICE_ENTE | NOME_FILE           | NOME_SHEET                                                                                   | TESTO_QUERY       | TMS_ESTRAZIONE
IMP_U_G5                        | H223        |                     | Accrediti                                                                                    | [oracle.sql.CLOB] | 
IMP_U_G9                        | H223        |                     | Annullamenti                                                                                 | [oracle.sql.CLOB] | 
IMP_A_G2                        | H223        |                     | Riversamenti                                                                                 | [oracle.sql.CLOB] | 
IMP_A_G3                        | H223        |                     | Recuperi                                                                                     | [oracle.sql.CLOB] | 
IMP_A_G4                        | H223        |                     | Anticipi                                                                                     | [oracle.sql.CLOB] | 
IMP_A_G5                        | H223        |                     | Accrediti                                                                                    | [oracle.sql.CLOB] | 
IMP_A_G9                        | H223        |                     | Annullamenti                                                                                 | [oracle.sql.CLOB] | 
ICI_IMU_TASI_importi_versamenti | H223        |                     | Complessivo,Imposta,Imposta_Destinazione,Imposta_Destinazione_Anno,Imposta_Dest_Anno_Tributo | [oracle.sql.CLOB] | 
EXP_I_U_G1_abipri               | H223        | ICI_IMU_TASI_abipri | Abitazione principale                                                                        | [oracle.sql.CLOB] | 
EXP_I_U_G1_abipri_CF            | H223        | ICI_IMU_TASI_abipri | Nro_CF                                                                                       | [oracle.sql.CLOB] | 
EXP_I_U_G1_CF                   | H223        | ICI_IMU_TASI_RSU_CF | Versamenti_I_U                                                                               | [oracle.sql.CLOB] | 
EXP_A_G1_CF                     | H223        | ICI_IMU_TASI_RSU_CF | Versamenti_A                                                                                 | [oracle.sql.CLOB] | 
IMP_I_G2                        | H223        |                     | Riversamenti                                                                                 | [oracle.sql.CLOB] | 
IMP_I_G3                        | H223        |                     | Recuperi                                                                                     | [oracle.sql.CLOB] | 
IMP_I_G1                        | H223        |                     | Versamenti                                                                                   | [oracle.sql.CLOB] | 
IMP_I_G4                        | H223        |                     | Anticipi                                                                                     | [oracle.sql.CLOB] | 
IMP_I_G5                        | H223        |                     | Accrediti                                                                                    | [oracle.sql.CLOB] | 
IMP_I_G9                        | H223        |                     | Annullamenti                                                                                 | [oracle.sql.CLOB] | 
IMP_U_G1                        | H223        |                     | Versamenti                                                                                   | [oracle.sql.CLOB] | 
IMP_U_G2                        | H223        |                     | Riversamenti                                                                                 | [oracle.sql.CLOB] | 
IMP_A_G1                        | H223        |                     | Versamenti                                                                                   | [oracle.sql.CLOB] | 
IMP_U_G3                        | H223        |                     | Recuperi                                                                                     | [oracle.sql.CLOB] | 
IMP_U_G4                        | H223        |                     | Anticipi                                                                                     | [oracle.sql.CLOB] | 

